Age,Hours per day,BPM,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Anxiety,Depression,Insomnia,OCD,Primary streaming service_Apple Music,Primary streaming service_I do not use a streaming service.,Primary streaming service_Other streaming service,Primary streaming service_Pandora,Primary streaming service_Spotify,Primary streaming service_YouTube Music,While working_No,While working_Yes,Instrumentalist_No,Instrumentalist_Yes,Composer_No,Composer_Yes,Fav genre_Classical,Fav genre_Country,Fav genre_EDM,Fav genre_Folk,Fav genre_Gospel,Fav genre_Hip hop,Fav genre_Jazz,Fav genre_K pop,Fav genre_Latin,Fav genre_Lofi,Fav genre_Metal,Fav genre_Pop,Fav genre_R&B,Fav genre_Rap,Fav genre_Rock,Fav genre_Video game music,Exploratory_No,Exploratory_Yes,Foreign languages_No,Foreign languages_Yes,Music effects_Improve,Music effects_No effect,Music effects_Worsen
-0.5815845774358643,0.09595864080066312,0.2613159818159275,0,0,3,0,0,1,1,3,0,2,2,1,0,1,1,3,0.7000000000000001,0.7000000000000001,1.0,0.2,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
3.1012237144350587,-0.39181781118939574,-1.1918268158134846,2,0,0,1,2,0,3,2,3,2,0,2,2,0,0,0,0.9,0.7000000000000001,0.30000000000000004,0.30000000000000004,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
-0.5815845774358643,0.09595864080066312,-0.49552922528272464,0,0,1,0,1,3,0,3,2,2,0,2,3,3,0,1,0.7000000000000001,0.2,0.5,0.9,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
-0.5815845774358643,0.421142942127369,-1.1312791992455924,1,2,0,0,0,2,3,3,1,3,1,3,3,3,3,0,0.8,0.8,0.7000000000000001,0.7000000000000001,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
-0.5815845774358643,-0.22922566052604276,-1.7367553649245142,2,0,1,2,1,1,2,0,1,1,1,1,1,0,0,2,0.4,0.8,0.6000000000000001,0.0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0
-0.3246444640495208,-0.8795942631794545,-0.8588149246900777,0,0,1,0,0,3,1,3,0,2,0,2,2,1,0,1,0.5,0.30000000000000004,0.5,0.30000000000000004,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
-0.4959378729737498,0.7463272434540749,-0.8890887329740238,0,3,0,2,0,0,0,0,0,0,3,0,0,0,3,0,0.2,0.0,0.0,0.0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
-0.5815845774358643,-0.8795942631794545,0.9576135723466875,1,1,1,1,2,1,1,0,1,1,0,2,2,1,2,2,0.2,0.2,0.5,0.1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
-0.4959378729737498,1.3966958461074868,0.04939932382830492,1,0,3,0,0,2,1,1,1,1,0,1,1,2,1,1,0.1,0.0,0.0,0.1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
-0.4959378729737498,-0.5544099618527487,-1.0707315826777002,0,3,1,2,0,2,0,0,0,1,0,1,0,3,0,0,0.2,0.1,0.2,0.0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
-0.5815845774358643,0.09595864080066312,0.7456969143590649,3,1,0,0,0,0,3,0,2,1,2,2,0,0,2,1,0.6000000000000001,0.4,0.7000000000000001,0.0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
-0.7528779863600933,1.3966958461074868,-0.616624458418509,0,0,0,0,0,3,0,0,0,0,0,0,2,3,0,1,0.8,0.8,0.4,0.30000000000000004,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
-0.7528779863600933,2.6974330514143103,-0.10196971759142551,1,0,2,1,0,3,1,0,0,0,2,2,1,2,3,0,0.5,0.7000000000000001,1.0,0.0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
-0.6672312818979788,6.599644667334781,-0.7377196915542933,1,0,0,0,0,2,2,2,1,0,2,1,2,3,3,0,0.7000000000000001,0.5,0.0,0.30000000000000004,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0
-0.8385246908222078,-0.22922566052604276,-0.10196971759142551,0,0,0,0,0,3,1,0,0,0,1,1,2,3,1,0,0.7000000000000001,0.30000000000000004,0.0,0.2,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
-0.8385246908222078,1.3966958461074868,-0.10196971759142551,1,0,2,1,0,3,2,3,2,1,1,3,1,3,2,2,0.6000000000000001,0.9,0.30000000000000004,0.0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
-0.6672312818979788,0.09595864080066312,0.04939932382830492,0,1,1,0,0,2,0,0,0,1,1,2,0,3,2,0,1.0,1.0,0.2,0.4,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0
-0.4959378729737498,0.421142942127369,-0.16251733415931768,1,1,2,3,1,3,2,0,0,1,1,1,3,3,2,1,0.6000000000000001,0.7000000000000001,0.5,0.4,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
-0.5815845774358643,-0.5544099618527487,-1.343195857233215,1,1,2,0,0,1,0,1,2,0,0,3,0,0,0,1,0.30000000000000004,0.30000000000000004,0.8,0.6000000000000001,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
